contig	start_bin	end_bin
CP068277.2	0	7
CP068276.2	7	14
CP068275.2	14	20
CP068274.2	20	25
CP068273.2	25	30
CP068272.2	30	35
CP068271.2	35	40
CP068270.2	40	44
CP068269.2	44	48
CP068268.2	48	52
CP068267.2	52	56
CP068266.2	56	60
CP068265.2	60	63
CP068264.2	63	66
CP068263.2	66	69
CP068262.2	69	72
CP068261.2	72	75
CP068260.2	75	78
CP068259.2	78	80
CP068258.2	80	82
CP068257.2	82	84
CP068256.2	84	86
CP068255.2	86	90
CP086569.2	90	92
CP068254.1	92	93
